"","2014_ZellerG","2015_FengQ","2016_VogtmannE","2019_Thom","2019_WirbelJ","2019_Yachida","2021_JunY_1","2021_JunY_2","Mean"
"Seed_1",81.89,90.23,70.37,67.59,85.29,75.89,85.65,83.51,80.0525
"Seed_2",81.17,90.56,70.86,65.83,88.59,75.24,86.27,83.95,80.30875
"Seed_3",80.99,89.93,70.99,66.11,88.24,76.04,86.51,83.44,80.28125
"Seed_4",81.63,90.52,70.59,66.02,88.32,75.56,85.98,83.82,80.305
"Seed_5",81.53,90.59,70.23,68.33,88.24,75.43,85.52,83.45,80.415
"Seed_6",81.57,90.75,70.86,64.91,87.25,75.42,86.42,83.44,80.0775
"Seed_7",81.32,90.62,70.28,66.94,85.56,75.69,86.4,83.57,80.0475
"Seed_8",81.36,90.59,71.26,66.3,87.7,75.68,86.4,83.91,80.4
"Seed_9",81.3,90.69,70.81,67.41,87.61,75.64,86.49,83.53,80.435
"Seed_10",81.33,89.58,71.61,65.74,88.68,76.31,85.89,83.98,80.39
"Seed_11",80.81,91.08,70.63,66.39,86.9,75.78,86.42,83.63,80.205
"Seed_12",81.51,90.2,70.45,67.78,86.45,75.15,86.79,83.49,80.2275
"Seed_13",81.36,90.75,71.17,66.67,87.7,75.64,85.74,83.26,80.28625
"Seed_14",81.41,91.05,71.12,66.67,88.5,75.61,86.11,83.96,80.55375
"Seed_15",81.72,90.56,70.72,67.69,85.74,75.41,85.94,83.46,80.155
"Seed_16",81.41,89.74,70.54,65.93,87.43,75.51,86.31,83.67,80.0675
"Seed_17",81.42,90,72.55,66.57,87.25,75.32,85.61,83.97,80.33625
"Seed_18",81.05,90.36,70.5,65.65,85.92,75.45,87.3,83.54,79.97125
"Seed_19",81.54,89.38,71.21,66.3,87.7,75.71,86.7,83.73,80.28375
"Seed_20",81.33,90.2,70.01,67.87,86.54,75.8,87.25,83.06,80.2575
"Seed_21",81.66,89.71,70.99,65.93,87.34,75.56,86.18,83.48,80.10625
"Seed_22",82.02,91.6,70.9,66.02,86.63,75.5,86.05,83.48,80.275
"Seed_23",81.47,91.44,71.39,67.04,85.56,75.66,87.21,83.61,80.4225
"Seed_24",80.87,91.54,70.99,65.93,86.72,75.5,86.62,83.28,80.18125
"Seed_25",81.87,89.54,71.43,66.67,88.15,75.67,86.16,83.55,80.38
"Seed_26",81.9,90.78,70.86,66.11,89.39,75.91,86.7,83.67,80.665
"Seed_27",81.78,91.21,70.23,67.69,87.7,75.81,86.75,83.32,80.56125
"Seed_28",81.53,91.08,70.81,68.06,88.32,75.82,86.92,83.3,80.73
"Seed_29",81.56,89.93,69.83,68.15,88.24,75.88,86.9,83.51,80.5
"Seed_30",81.95,91.11,71.21,64.35,86.27,75.82,86.18,83.3,80.02375
"Seed_31",81.84,91.14,70.5,66.94,89.04,75.54,86.81,83.31,80.64
"Seed_32",81.24,91.01,72.46,64.35,87.97,75.42,86.79,83.27,80.31375
"Seed_33",81.65,90.75,70.19,66.48,87.25,75.63,86.55,83.81,80.28875
"Seed_34",82.2,90.78,70.9,66.2,85.92,75.53,86.27,83.14,80.1175
"Seed_35",81.33,91.57,70.94,65.93,89.57,75.31,86.81,83.41,80.60875
"Seed_36",81.6,90.78,71.08,66.3,89.13,75.5,86.97,82.91,80.53375
"Seed_37",81.38,90.23,71.7,67.41,88.24,75.79,85.89,83.57,80.52625
"Seed_38",80.76,90.39,70.99,65.56,88.41,75.41,86.62,83.39,80.19125
"Seed_39",81.41,90.69,70.37,67.87,87.79,75.56,86.18,83.91,80.4725
"Seed_40",82.08,90.78,70.81,68.7,88.06,75.82,86.13,83.66,80.755
"Seed_41",81.89,90.26,70.45,67.69,89.3,75.55,85.52,83.17,80.47875
"Seed_42",81.26,90.16,71.3,65.19,87.88,75.85,86.57,83.18,80.17375
"Seed_43",81.21,91.05,70.9,67.31,88.77,75.76,86.29,83.19,80.56
"Seed_44",81.32,90.95,70.41,67.31,85.92,75.77,86.4,83.62,80.2125
"Seed_45",81.44,90.29,70.99,68.06,88.68,75.8,86.18,83.64,80.635
"Seed_46",81.36,91.5,70.94,66.39,87.25,75.65,86.79,83.19,80.38375
"Seed_47",81.47,90.85,71.3,66.11,88.06,75.14,85.48,84,80.30125
"Seed_48",82.08,90.16,71.97,67.96,86.01,76.31,85.43,83.73,80.45625
"Seed_49",81.6,90.1,70.99,67.87,88.24,75.79,85.65,83.63,80.48375
"Seed_50",81.42,90.75,70.23,67.69,87.43,75.93,85.94,83.61,80.375
"Seed_51",81.35,91.41,70.5,66.3,87.17,75.62,85.94,83.42,80.21375
"Seed_52",81.38,90.52,71.43,65.56,86.45,75.34,86.35,83.28,80.03875
"Seed_53",81.42,90.88,70.72,66.94,88.06,75.82,86.02,83.63,80.43625
"Seed_54",81.92,91.08,71.48,66.67,87.79,75.88,86.66,82.96,80.555
"Seed_55",80.9,92.03,69.92,67.31,87.7,75.6,86.62,83.6,80.46
"Seed_56",81.53,90.56,70.19,66.3,86.81,75.57,86.92,83.07,80.11875
"Seed_57",81.81,90.52,70.19,65.74,89.66,75.51,86.81,83.63,80.48375
"Seed_58",81.56,90.16,70.72,67.04,86.01,75.9,86.31,83.15,80.10625
"Seed_59",82.07,90.2,71.12,66.3,86.27,76.05,86.02,83.82,80.23125
"Seed_60",81.12,91.37,70.54,66.48,87.43,75.58,85.48,83.01,80.12625
"Seed_61",81.83,91.7,71.03,68.06,88.59,75.69,86.51,83.13,80.8175
"Seed_62",80.84,90.46,70.59,63.98,86.1,75.54,86.97,83.42,79.7375
"Seed_63",81.74,90.36,71.61,66.67,88.15,75.32,86.59,83.72,80.52
"Seed_64",81.33,91.57,70.41,67.04,86.54,75.45,86.11,83.16,80.20125
"Seed_65",81.84,90.62,70.14,66.76,89.04,75.62,86.62,83.23,80.48375
"Seed_66",81.36,89.9,72.46,67.31,87.88,75.51,86.27,83.37,80.5075
"Seed_67",81.98,89.74,71.12,67.04,88.59,75.48,86.31,83.11,80.42125
"Seed_68",81.72,91.01,71.17,64.44,85.2,75.6,85.89,83.37,79.8
"Seed_69",81,90.72,70.5,68.33,87.52,75.52,87.19,83.72,80.5625
"Seed_70",81.6,91.37,70.23,67.78,85.47,75.55,86.33,83.84,80.27125
"Seed_71",81.05,89.93,70.41,65.28,90.37,76.04,86.66,83.9,80.455
"Seed_72",81.56,90.78,70.59,66.94,87.43,75.7,85.67,83.78,80.30625
"Seed_73",82.16,90.13,70.1,67.22,88.41,75.51,86.18,83.08,80.34875
"Seed_74",81.39,90.16,71.52,66.2,87.43,75.62,86.38,83.56,80.2825
"Seed_75",81.8,90.56,70.19,65,86.63,75.49,87.03,82.98,79.96
"Seed_76",82.07,91.86,70.9,67.04,87.52,75.7,87.23,83.79,80.76375
"Seed_77",81.36,90.52,70.63,67.04,86.99,75.13,86.86,82.88,80.17625
"Seed_78",81.74,90.36,71.35,66.11,87.79,76.08,85.85,83.21,80.31125
"Seed_79",81.65,90.88,69.74,66.2,86.99,75.85,86.81,83.32,80.18
"Seed_80",81.24,90.78,71.21,67.5,86.99,75.33,86.62,83.02,80.33625
"Seed_81",81.69,90.88,71.03,65.93,88.68,75.49,85.98,83.44,80.39
"Seed_82",81.41,90.78,70.28,67.69,88.41,75.43,86.22,83.86,80.51
"Seed_83",82.64,91.9,70.63,66.76,89.39,75.51,86.18,83.54,80.81875
"Seed_84",80.99,90.16,70.81,64.63,87.08,75.53,86.73,83.17,79.8875
"Seed_85",81.39,90.78,70.86,67.96,87.97,76.17,86.86,83.25,80.655
"Seed_86",81.27,90.95,71.66,65.74,87.43,75.4,87.38,83.45,80.41
"Seed_87",81.29,90.2,70.68,65.93,86.9,75.72,86.38,83.69,80.09875
"Seed_88",81.08,91.18,70.05,66.85,85.56,75.4,86.16,83.79,80.00875
"Seed_89",81.35,90.65,71.03,65.83,85.03,75.99,86.13,83.27,79.91
"Seed_90",81.99,91.08,71.66,65.65,87.7,75.89,86.46,83.24,80.45875
"Seed_91",82.13,91.6,71.08,66.67,87.25,75.5,87.25,83.59,80.63375
"Seed_92",80.49,90.13,70.45,66.3,88.77,75.31,85.63,83.42,80.0625
"Seed_93",81.23,90.29,71.79,67.96,87.17,76.01,86.44,83.01,80.4875
"Seed_94",81.32,90.92,70.54,66.67,87.34,76,86.31,83.02,80.265
"Seed_95",81.06,90.56,71.61,66.85,88.32,75.75,85.74,83.51,80.425
"Seed_96",81.6,90.52,71.48,67.04,87.88,75.69,86.59,83.69,80.56125
"Seed_97",81.02,91.18,71.17,67.41,85.74,75.64,86.24,83.59,80.24875
"Seed_98",81.18,90.1,70.32,68.24,87.08,75.98,87.03,83.41,80.4175
"Seed_99",81.23,90.16,71.3,68.8,86.19,75.7,86.88,83.3,80.445
"Seed_100",81.36,90.23,70.37,67.5,85.56,75.49,86.68,83.78,80.12125
