"","N.count","P.count","Missing","2014_ZellerG-Median","2015_FengQ-Median"
"Macrophomina phaseolina",1,1,0,0.101784219666448,-0.252282543228608
"Neofusicoccum parvum",1,1,0,0.33924468212683,-0.290051269055242
"Cenococcum geophilum",2,0,0,-0.43420841437838,-0.153778953410011
"Clohesyomyces aquaticus",2,0,0,-0.15365929963321,-0.212129866760663
"Corynespora cassiicola",1,1,0,0.498717805987296,-0.0662034863752838
"Stagonospora sp. SRC1lsM3a",0,2,0,0.299350367490635,0.220850682091595
"Periconia macrospinosa",2,0,0,-0.34731963828905,-0.146753244080122
"Pyrenochaeta sp. DS3sAY3a",0,2,0,0.431453462850914,0.552630691847089
"Epicoccum nigrum",1,1,0,0.0651455474994947,-0.254299291752901
"Ascochyta rabiei",2,0,0,-0.00625960682598464,-0.0649665275361911
"Exserohilum turcicum",1,1,0,0.292005362071965,-0.307900771790463
"Bipolaris victoriae",1,1,0,0.194929256605354,-0.51346405563361
"Bipolaris zeicola",1,1,0,-0.184512104180911,0.36991639739928
"Bipolaris maydis",2,0,0,-0.148953737119699,-0.0697137417771364
"Bipolaris sorokiniana",1,1,0,-0.504848992016113,0.247848416182493
"Bipolaris oryzae",1,1,0,-0.0427990733519366,0.0315411812176842
"Stemphylium lycopersici",0,2,0,0.537413387178093,0.0802677596759148
"Elsinoe australis",0,2,0,0.235196226531102,0.54558886692656
"Aureobasidium melanogenum",1,1,0,0.0799753763969354,-0.158655236878797
"Aureobasidium namibiae",2,0,0,-0.47471043546276,-0.603040413406748
"Aureobasidium subglaciale",1,1,0,0.134632568211302,-0.155665558595328
"Acidomyces richmondensis",2,0,0,-0.158884273753618,-0.514218141617735
"Rachicladosporium sp. CCFEE 5018",1,1,0,0.548026158083531,-0.649121223519935
"Rachicladosporium antarcticum",0,2,0,0.211492054913469,0.150943647387771
"Hortaea werneckii",2,0,0,-0.338561273832813,-0.731590416156642
"Baudoinia panamericana",2,0,0,-0.916975340277136,-0.841491608636976
"Sphaerulina musiva",0,2,0,0.907130062812722,0.107922817692732
"Cercospora beticola",2,0,0,-0.0346626622898941,-0.0729026291572794
"Cercospora zeina",1,1,0,0.0860363899426933,-0.226243939841135
"Cercospora berteroae",1,1,0,0.379456103455154,-0.350226325629372
"Zymoseptoria brevis",2,0,0,-0.503034688556876,-0.722222820779391
"Zymoseptoria tritici",0,2,0,0.140254987832343,0.147125262246477
"Pseudocercospora eumusae",1,1,0,0.358016391200786,-0.0419123400795722
"Pseudocercospora musae",2,0,0,-0.403503156369979,-0.598749641833551
"Pseudocercospora fijiensis",2,0,0,-0.394535118234066,-0.204750308843805
"Phaeomoniella chlamydospora",2,0,0,-0.00324051816418629,-0.159681106422229
"Endocarpon pusillum",2,0,0,-0.277242901281583,-0.279014682151077
"Cyphellophora europaea",1,1,0,0.0299925632396285,-0.18651419848297
"Phialophora americana",1,1,0,-0.0988250755471025,0.160328668878254
"Rhinocladiella mackenziei",2,0,0,-0.00840704696265758,-0.498314447006741
"Capronia coronata",2,0,0,-0.313621676298239,-0.744586903088226
"Capronia epimyces",0,2,0,0.261046402874199,0.302668140318446
"Exophiala dermatitidis",1,1,0,0.122303583165904,-0.187230585114028
"Exophiala aquamarina",1,1,0,-0.211943181026564,0.191008116206821
"Exophiala sideris",2,0,0,-0.098126342404945,-0.180069773929037
"Fonsecaea multimorphosa",1,1,0,0.257578813807163,-0.598053365515761
"Fonsecaea pedrosoi",2,0,0,-0.50210138002094,-0.338925999641887
"Cladophialophora yegresii",2,0,0,-0.120161041623392,-0.519602457182306
"Cladophialophora carrionii",1,1,0,0.403532905475851,-0.113162100427982
"Cladophialophora bantiana",1,1,0,0.370978569333681,-0.181882823557337
"Cladophialophora psammophila",2,0,0,-0.451627121130022,-0.675723817839823
"Ascosphaera apis",1,1,0,-0.320390869653461,0.00679818422775382
"Uncinocarpus reesii",1,1,0,0.000486780809710148,-0.258903065206277
"Nannizzia gypsea",2,0,0,-0.265228907813868,-0.445119683346213
"Microsporum canis",2,0,0,-0.434503944977713,-0.431130690287633
"Trichophyton tonsurans",1,1,0,-0.0429644007795043,0.768177108121974
"Trichophyton interdigitale",1,1,0,-0.299221786317944,0.0255454181008029
"Trichophyton soudanense",2,0,0,-0.0281540816767233,-0.0123718818635137
"Trichophyton rubrum",2,0,0,-0.0225475220759298,-0.0121776487991012
"Trichophyton equinum",1,1,0,-0.0661257838290174,0.129663655505309
"Trichophyton mentagrophytes",2,0,0,-1.53733040198713,-0.129877890184194
"Trichophyton verrucosum",2,0,0,-1.3402519742269,-0.906047763059811
"Trichophyton benhamiae",1,1,0,0.613321102729499,-0.149867403582312
"Coccidioides immitis",1,1,0,-1.09809255713094,0.259080719909326
"Coccidioides posadasii",1,1,0,-0.955662388883374,0.316959275321614
"Paracoccidioides brasiliensis",1,1,0,-0.387923252204632,0.223008670170581
"Paracoccidioides lutzii",2,0,0,-0.575243309193776,-0.585505050886874
"Emergomyces pasteurianus",1,1,0,-0.157843429872711,0.273293182733618
"Polytolypa hystricis",2,0,0,-0.62491888498325,-0.0716340268762201
"Helicocarpus griseus",2,0,0,-0.13981363625557,-0.409548531223704
"Histoplasma capsulatum",2,0,0,-0.296794547645172,-0.0168814029033613
"Emmonsia sp. CAC-2015a",2,0,0,-0.230579486388787,-0.473481889608085
"Emmonsia crescens",2,0,0,-0.1385576667541,-0.0493284763631004
"Blastomyces parvus",0,2,0,0.470909184074632,0.255884892268098
"Blastomyces percursus",2,0,0,-0.0411322458474416,-0.326885222833267
"Blastomyces gilchristii",2,0,0,-0.516797344930431,-0.103700725249339
"Blastomyces dermatitidis",2,0,0,-0.430906115772786,-0.191304621000519
"Blastomyces silverae",2,0,0,-0.616903375757237,-0.319194722362809
"Byssochlamys spectabilis",2,0,0,-0.111137376073041,-0.0899452005236284
"Elaphomyces granulatus",2,0,0,-0.00787470834104125,-0.0466900950065968
"Rasamsonia emersonii",1,1,0,0.322561225052303,-0.0663995317531528
"Talaromyces marneffei",2,0,0,-0.543374407606496,-0.138581154682968
"Talaromyces cellulolyticus",1,1,0,0.469503256557531,-0.578390547217369
"Talaromyces stipitatus",1,1,0,-0.349734949533541,0.316696139668201
"Talaromyces islandicus",2,0,0,-0.127149001811878,-0.230676429686782
"Talaromyces rugulosus",2,0,0,-0.146229777363911,-0.116881559694823
"Penicilliopsis zonata",1,1,0,-0.362974519031184,0.0835868699671986
"Penicillium chrysogenum",1,1,0,0.000995276585129794,-0.0235651883709114
"Penicillium rubens",2,0,0,-0.029429785550017,-0.0192986803829343
"Penicillium flavigenum",1,1,0,-0.404285509550207,0.334488939486245
"Penicillium solitum",2,0,0,-0.822823700967796,-0.314909077965235
"Penicillium digitatum",1,1,0,-0.0103096802373168,0.0292555233493827
"Penicillium roqueforti",2,0,0,-0.23545097564589,-0.292240813679573
"Penicillium nordicum",2,0,0,-0.337790356068208,-0.841270949000993
"Penicillium nalgiovense",2,0,0,-0.739348340434948,-0.713209515903494
"Penicillium sp. 'occitanis'",0,2,0,0.0869206425900256,0.200376860176857
"Penicillium griseofulvum",1,1,0,0.0163701936257448,-0.431961573415081
"Penicillium antarcticum",2,0,0,-0.553913850521164,-0.458063101582906
"Penicillium brasilianum",2,0,0,-0.0293900825952997,-0.0937608568874599
"Penicillium vulpinum",1,1,0,0.0848206074338635,-0.115472456192802
"Penicillium freii",2,0,0,-0.368881218152963,-0.320167832381368
"Penicillium camemberti",1,1,0,0.334974113414194,-0.0735235862030726
"Penicillium polonicum",2,0,0,-0.837920144710733,-0.192177390325817
"Penicillium decumbens",0,2,0,0.319850997706522,0.889498200972832
"Penicillium italicum",2,0,0,-0.412346001920424,-0.335049144342025
"Penicillium coprophilum",2,0,0,-0.107941156031591,-0.422060283420714
"Penicillium oxalicum",2,0,0,-0.116036988112334,-0.431620285279972
"Penicillium steckii",2,0,0,-0.217229397793862,-0.473409638451454
"Penicillium subrubescens",2,0,0,-0.189422595943558,-0.238105735249672
"Aspergillus violaceofuscus",2,0,0,-0.307303221532732,-1.0743950629263
"Aspergillus parasiticus",1,1,0,-0.510699713927298,0.0648052113736557
"Aspergillus flavus",2,0,0,-0.460058967534889,-0.552698191299692
"Aspergillus ochraceoroseus",0,2,0,1.17938937414079,0.991696613948631
"Aspergillus tubingensis",1,1,0,-0.379006368147367,1.02421864473272
"Aspergillus kawachii",1,1,0,-1.46512123060443,0.805672223093386
"Aspergillus arachidicola",0,2,0,0.37909085146395,0.366068339777052
"Aspergillus oryzae",1,1,0,-0.326946601747386,0.0819507390736306
"Aspergillus glaucus",2,0,0,-0.284051369746011,-0.0257770786972053
"Aspergillus novofumigatus",0,2,0,0.0327475911918974,0.252386941047206
"Aspergillus japonicus",1,1,0,-1.84249381871144,0.0134126110432267
"Aspergillus piperis",1,1,0,-0.0962391541491362,0.110870208028011
"Aspergillus luchuensis",2,0,0,-1.12670512714653,-0.731420442826276
"Aspergillus indologenus",1,1,0,-0.309138019635785,0.0902183695447815
"Aspergillus brunneoviolaceus",2,0,0,-0.649668856839897,-0.30739583225015
"Aspergillus vadensis",2,0,0,-0.268531901795571,-0.424119469412021
"Aspergillus udagawae",1,1,0,-0.400009679454913,0.015815891814184
"Aspergillus uvarum",1,1,0,-0.14666979389937,0.100473195910605
"Aspergillus niger",2,0,0,-0.378424655386182,-0.14003518371338
"Aspergillus ustus",0,2,0,0.233287178376307,0.118461099804942
"Aspergillus neoniger",2,0,0,-0.92286555268866,-0.519648083129602
"Aspergillus eucalypticola",2,0,0,-0.230195757798074,-0.63555715205203
"Aspergillus versicolor",0,2,0,0.096611273411069,0.0232899700073307
"Aspergillus calidoustus",2,0,0,-0.137128012862941,-0.111047217162827
"Aspergillus carbonarius",2,0,0,-0.114011272014259,-0.00660711053224443
"Aspergillus sclerotiicarbonarius",1,1,0,0.172711935258032,-0.486814920950278
"Aspergillus rambellii",0,2,0,1.43766059061818,0.949355459619754
"Aspergillus campestris",1,1,0,0.231605128708136,-0.300192444676386
"Aspergillus cristatus",1,1,0,-0.00841941777401806,0.00891178825768251
"Aspergillus ellipticus",0,2,0,0.300695842691829,0.638905267480285
"Aspergillus aculeatinus",2,0,0,-0.343904705720031,-0.333942533496135
"Aspergillus turcosus",0,2,0,0.179227000198026,0.063784160871504
"Aspergillus aculeatus",2,0,0,-0.0934132524507178,-0.116811222245538
"Aspergillus saccharolyticus",2,0,0,-0.0323179496381086,-0.0472071806265148
"Aspergillus nomius",1,1,0,-0.258168597101421,0.31645221736218
"Aspergillus wentii",1,1,0,0.0572740831874541,-0.240217558859545
"Aspergillus fumigatus",1,1,0,0.189002232366622,-0.0549838224517662
"Aspergillus ruber",1,1,0,-0.514174244396085,0.01431059416045
"Aspergillus sydowii",0,2,0,0.26020239521018,0.115164814478228
"Aspergillus nidulans",2,0,0,-0.390855592009543,-0.229638298801381
"Aspergillus sclerotioniger",2,0,0,-0.329320442561814,-0.424103634207626
"Aspergillus brasiliensis",1,1,0,0.235273110683994,-0.433842589109115
"Aspergillus heteromorphus",2,0,0,-0.0772287641040831,-0.0248855221213009
"Aspergillus steynii",2,0,0,-0.0207372420923348,-0.377713186236582
"Aspergillus taichungensis",1,1,0,0.0513161308756267,-0.588222371843024
"Blumeria graminis",1,1,0,-0.010085694774737,0.275850066099796
"Erysiphe necator",2,0,0,-0.395948178060681,-0.157577900576676
"Erysiphe pulchra",0,2,0,0.0901147321771892,0.776454434411226
"Amorphotheca resinae",0,2,0,0.473146000144837,0.402065339521038
"Oidiodendron maius",2,0,0,-0.21775427948889,-0.647178198270183
"Pseudogymnoascus sp. VKM F-4516 (FW-969)",2,0,0,-0.00310490386450605,-0.0105016873080704
"Pseudogymnoascus sp. VKM F-4514 (FW-929)",1,1,0,0.0327285466553541,-0.0104088185678538
"Pseudogymnoascus sp. VKM F-4517 (FW-2822)",1,1,0,-0.151728316942833,0.130521661102923
"Pseudogymnoascus sp. VKM F-4515 (FW-2607)",2,0,0,-0.443936781685193,-0.0790770482023069
"Pseudogymnoascus sp. VKM F-4246",1,1,0,0.104886254052955,-0.0877036079816481
"Pseudogymnoascus sp. VKM F-4520 (FW-2644)",0,2,0,0.559189457589702,0.875746131623079
"Pseudogymnoascus sp. VKM F-3557",1,1,0,-0.953399589134151,0.0220221107741953
"Pseudogymnoascus sp. 05NY08",2,0,0,-0.120890469748268,-0.401651270834349
"Pseudogymnoascus sp. VKM F-4519 (FW-2642)",1,1,0,0.0313224655234853,-1.34305495801694
"Pseudogymnoascus sp. WSF 3629",1,1,0,0.0323961510216777,-0.212034879809067
"Pseudogymnoascus sp. VKM F-3775",2,0,0,-0.218196875350555,-0.377837035291681
"Pseudogymnoascus sp. 24MN13",2,0,0,-0.116605588612125,-0.443483294373435
"Pseudogymnoascus sp. VKM F-4281 (FW-2241)",1,1,0,-0.256133446841994,0.0569701387444416
"Pseudogymnoascus sp. VKM F-3808",1,1,0,0.30496314524637,-0.328543318794655
"Pseudogymnoascus sp. 03VT05",1,1,0,-0.170317459525654,0.0413935895206318
"Pseudogymnoascus sp. 23342-1-I1",2,0,0,-0.439516272482344,-0.132736760520626
"Pseudogymnoascus sp. VKM F-103",2,0,0,-0.157831314063126,-0.173513461379184
"Pseudogymnoascus sp. VKM F-4518 (FW-2643)",0,2,0,1.13352306011262,0.433479919270149
"Pseudogymnoascus sp. VKM F-4513 (FW-928)",2,0,0,-0.4125691102565,-0.952379133326016
"Pseudogymnoascus destructans",1,1,0,-0.0284787192281045,0.137354686133097
"Glarea lozoyensis",1,1,0,0.0277122534594439,-0.0797254887675063
"Rutstroemia sp. NJR-2017a BBW",2,0,0,-0.615819340356378,-0.37468258285137
"Rutstroemia sp. NJR-2017a BVV2",2,0,0,-0.238198381101798,-0.0402563870136171
"Rutstroemia sp. NJR-2017a WRK4",2,0,0,-0.42653475513011,-0.709601234256455
"Pezoloma ericae",2,0,0,-0.708801802370307,-0.24438327382435
"Diplocarpon rosae",0,2,0,0.0566256809011332,0.256918675042628
"Marssonina brunnea",1,1,0,-0.283869648502753,0.67085319611777
"Hyaloscypha variabilis",2,0,0,-0.571028364481,-0.221692728415634
"Hyaloscypha bicolor",1,1,0,-0.255332905366096,0.0989452476245457
"Phialocephala subalpina",1,1,0,-0.403343354938426,0.170657818103312
"Cadophora sp. DSE1049",2,0,0,-0.34549934730916,-0.281513164327551
"Rhynchosporium secalis",2,0,0,-0.450797157715728,-0.145333681914897
"Rhynchosporium commune",2,0,0,-0.39765815439062,-0.983287420238229
"Rhynchosporium agropyri",2,0,0,-0.166778078156182,-0.294644909912177
"Botrytis cinerea",1,1,0,-0.173025299768486,0.0587774296272642
"Sclerotinia sclerotiorum",0,2,0,0.110365007791929,0.286040861862777
"Sclerotinia borealis",0,2,0,0.200843554033101,0.273379451677096
"Microdochium bolleyi",1,1,0,0.240800905174594,-0.101120675654343
"Pestalotiopsis fici",2,0,0,-0.219090412382024,-0.14717133482939
"Eutypa lata",1,1,0,0.141562766813383,-0.0234349928487812
"Pseudomassariella vexata",1,1,0,-0.155329723655224,0.162813397820805
"Rosellinia necatrix",1,1,0,0.123104255205261,-0.0914887692629809
"Daldinia sp. EC12",1,1,0,-0.0717822372614356,0.227894152603122
"Hypoxylon sp. EC38",1,1,0,-0.486329943828494,0.680713442254124
"Hypoxylon sp. CI-4A",1,1,0,-0.00329656925270878,0.368678156797096
"Hypoxylon sp. CO27-5",2,0,0,-0.830063236682863,-0.239205235529977
"Phaeoacremonium minimum",2,0,0,-0.231802798233822,-0.262127945551749
"Coniochaeta ligniaria",0,2,0,0.463100548473273,0.0969537233976353
"Pyricularia grisea",1,1,0,-0.2488918452194,0.148532245091895
"Pyricularia oryzae",2,0,0,-0.128446032045908,-0.487201967418605
"Pyricularia pennisetigena",1,1,0,-0.203046062673097,0.161799321944807
"Coniella lustricola",1,1,0,0.206321350297349,-0.157767194601014
"Valsa mali",2,0,0,-0.0495398116805513,-0.0119137250099306
"Diaporthe ampelina",1,1,0,0.122614540675446,-0.0806754324306057
"Diaporthe helianthi",1,1,0,-0.23293989459522,0.320002493382785
"Grosmannia clavigera",1,1,0,0.0309917140644752,-0.203276858312859
"Ophiostoma piceae",1,1,0,0.0163026106823467,-0.195820586723129
"Sporothrix schenckii",0,2,0,0.125447116600709,0.0945112940566239
"Sporothrix brasiliensis",1,1,0,0.210661409649742,-0.213636191182847
"Sporothrix insectorum",1,1,0,0.160443168795768,-0.600558631685823
"Madurella mycetomatis",2,0,0,-0.0632038391126151,-0.189279630417595
"Podospora anserina",2,0,0,-0.0503668138651948,-0.239163457106208
"Sordaria macrospora",1,1,0,-0.0792486309637249,0.0719680085547657
"Neurospora discreta",1,1,0,-0.210601269501621,0.164215377736478
"Neurospora tetrasperma",2,0,0,-0.0148539241133001,-0.180324774314849
"Neurospora crassa",0,2,0,0.0137789827312609,0.194525677816571
"Chaetomium thermophilum",1,1,0,0.125654789368459,-0.396236995325377
"Chaetomium globosum",1,1,0,0.120002358277092,-0.152252219161601
"Thermothelomyces thermophilus",1,1,0,-0.16275768872623,0.044310947215345
"Thielavia terrestris",1,1,0,0.326779431509984,-0.0485685442723701
"Lomentospora prolificans",1,1,0,0.443119117519637,-0.121628138882545
"Thielaviopsis punctulata",0,2,0,0.24985127338465,0.494472359034334
"Ceratocystis platani",2,0,0,-0.296188988142257,-0.698051672396695
"Verticillium alfalfae",1,1,0,0.233437418423172,-0.370032874275666
"Verticillium longisporum",0,2,0,0.0529594788971829,0.0280952215010961
"Colletotrichum sublineola",1,1,0,0.0939675349469233,-0.219024107124941
"Colletotrichum incanum",0,2,0,0.213834669294172,0.279093584960848
"Colletotrichum nymphaeae",1,1,0,0.215255986227179,-0.149366030879247
"Colletotrichum higginsianum",1,1,0,0.0702180592822822,-0.11465130034645
"Colletotrichum gloeosporioides",1,1,0,0.00232878502284963,-0.0756051065013308
"Colletotrichum simmondsii",0,2,0,0.207099894576537,0.448368176254726
"Colletotrichum chlorophyti",1,1,0,-0.0887302275569275,0.195662191190898
"Colletotrichum tofieldiae",1,1,0,-0.343602492223331,0.169249957325953
"Colletotrichum salicis",1,1,0,0.18579932759225,-0.437926753518931
"Colletotrichum fioriniae",1,1,0,0.107709369256586,-0.55904060204728
"Stachybotrys chlorohalonata",2,0,0,-0.0488667722486939,-0.116739696511023
"Stachybotrys chartarum",1,1,0,0.110673156774248,-0.548985608205789
"Acremonium chrysogenum",1,1,0,0.143614242605888,-0.31743072143054
"Ustilaginoidea virens",2,0,0,-0.178338252908397,-0.422715286779265
"Beauveria brongniartii",1,1,0,0.109386024223598,-0.474536214185709
"Beauveria bassiana",1,1,0,0.0629615496239241,-0.183468088032383
"Cordyceps fumosorosea",1,1,0,0.585199282663958,-0.166810697696825
"Cordyceps militaris",1,1,0,0.0266733996019974,-0.241310301828645
"Cordyceps sp. RAO-2017",0,2,0,1.04389731183693,0.0234848710244492
"Cordyceps confragosa",1,1,0,0.0560380940240928,-0.23166154661094
"Drechmeria coniospora",1,1,0,0.456427378017207,-0.0956061765183137
"Hirsutella minnesotensis",1,1,0,-0.00712189525896381,0.0806206204334269
"Tolypocladium ophioglossoides",0,2,0,0.57303578252369,0.353504234754679
"Tolypocladium capitatum",2,0,0,-0.0755330748580121,-0.266264702491494
"Tolypocladium paradoxum",0,2,0,0.287972866687506,0.100898790000634
"Ophiocordyceps australis",1,1,0,0.469771068339154,-0.0210489725962219
"Ophiocordyceps sinensis",1,1,0,-0.0638206095016756,0.123131743978141
"Ophiocordyceps unilateralis",1,1,0,0.021680521383557,-0.401273273445948
"Ophiocordyceps camponoti-rufipedis",1,1,0,0.126379295786028,-0.32332623898335
"Moelleriella libera",0,2,0,0.246603546132763,0.38925682494669
"Claviceps purpurea",1,1,0,-0.302629718416288,0.110908911300017
"Torrubiella hemipterigena",2,0,0,-0.00197726075393569,-0.292236399112633
"Pochonia chlamydosporia",1,1,0,-0.0356795277377957,0.39197138268258
"Metarhizium majus",1,1,0,-0.362034975684887,0.287086205835867
"Metarhizium brunneum",1,1,0,0.588067874326704,-0.663971891092952
"Metarhizium guizhouense",0,2,0,0.0293314304802027,0.30351866770045
"Metarhizium robertsii",0,2,0,0.118839431193889,0.500654317658523
"Metarhizium acridum",0,2,0,0.218058845584695,0.148937241981696
"Metarhizium anisopliae",1,1,0,0.170884102071601,-0.34229808565962
"Metarhizium rileyi",2,0,0,-0.211386669550062,-0.197957050415703
"Metarhizium album",1,1,0,0.288605714411757,-0.325535745201142
"Escovopsis weberi",1,1,0,0.25776197466579,-0.282273713403536
"Trichoderma parareesei",0,2,0,0.441768092719347,0.05948591048092
"Trichoderma asperellum",2,0,0,-0.313477816224719,-0.0482984892335271
"Trichoderma longibrachiatum",1,1,0,0.435290064630057,-0.406292800511017
"Trichoderma reesei",2,0,0,-0.0200434862385632,-0.613924060248323
"Trichoderma guizhouense",1,1,0,-0.0328229971192762,0.0967950796215638
"Trichoderma atroviride",2,0,0,-0.507654055315534,-0.594061345071216
"Neonectria ditissima",1,1,0,0.192080926660018,-0.0801060592205296
"Fusarium proliferatum",1,1,0,0.00635962191561135,-0.339899832482518
"Fusarium nygamai",1,1,0,-0.119076420151902,0.250183393341258
"Fusarium mangiferae",1,1,0,-0.214479394375441,0.181018404979252
"Fusarium verticillioides",2,0,0,-0.36825324826665,-0.304490013174484
"Fusarium fujikuroi",2,0,0,-0.127919719806855,-0.404304241913335
"Fusarium oxysporum",2,0,0,-0.273522342148333,-0.0814176871779718
"Fusarium pseudograminearum",1,1,0,0.0612432503390137,-0.176479431914192
"Fusarium poae",1,1,0,0.0493027676840616,-0.4348818601019
"Fusarium graminearum",2,0,0,-0.242140412698367,-0.103416599822813
"Fusarium venenatum",2,0,0,-0.115782415934472,-0.256098096997132
"Fusarium langsethiae",1,1,0,-0.328201026563703,0.0478495377625782
